Contenido,Autor,User_Name,Fecha_Posteo,Favs,Rt,Localizacion,compound,pos_score,neg_score,neu_score,Tipo_Sentimiento
"Click Link To Watch Now 
️
Footballer CristianoRonaldo  Goal CocaCola Out  UefaEuro Ft Bollywood Reaction With MEMES ",KME STUDIO,kme_studio,Thu Jun 24 09:02:18 +0000 2021,227,17,"Mumbai,Maharashtra",0.0,0.0,0.0,1.0,NEUTRO
Coca Cola th Anniversary Belt Buckle  via FreeShipping On All Items Store WideCoke CocaCola CokeCollector CokeCollection CocaColaCollector CocaColaCollection bottleopener beltbuckle,KnotSimpleBoutique,KnotSimple,Thu Jun 24 09:00:01 +0000 2021,0,1,"Raleigh, NC",0.0,0.0,0.0,1.0,NEUTRO
"GemResearch What was your view
research surveydata news opinions Haveyoursay debate newresearch thenationspeaks CocaCola w…",waterbot,waterbot_h2o,Thu Jun 24 08:54:36 +0000 2021,0,1,,0.0,0.0,0.0,1.0,NEUTRO
"What was your view
research surveydata news opinions Haveyoursay debate newresearch thenationspeaks CocaCola water ronaldococacola Ronaldo gem ",3Gem Research & Insights,3GemResearch,Thu Jun 24 08:43:28 +0000 2021,0,1,"London, England",0.0,0.0,0.0,1.0,NEUTRO
   now Ive been a fan since soccerzone times cocacola flair of the week,Holofelang32699,Holofelang3,Thu Jun 24 08:36:38 +0000 2021,0,2,"Johannesburg, South Africa",0.3182,0.133,0.0,0.867,POSITIVO
" Elon  My one tweet can change crypto marketRonaldo  Hold my water
CocaCola CristianoRonaldo ",Najaf Rai,NajafRai1,Thu Jun 24 08:31:32 +0000 2021,0,11,پاکستان,0.0,0.0,0.0,1.0,NEUTRO
 The gesture of ChristianoRonaldo  putting the CocaCola bottles aside caused a brutal  drop for the company on the…,stuart mabbutt,stuartmabbutt,Thu Jun 24 08:31:10 +0000 2021,0,13,United Kingdom,-0.7351,0.0,0.256,0.744,NEGATIVO
So good I had to share Check out all the items Im loving on  poshmark fashion style shopmycloset cocacola tommyhilfiger burberry  ,Styleblogg,Styleblogg2,Thu Jun 24 08:28:27 +0000 2021,0,0,London ,0.862,0.324,0.0,0.676,POSITIVO
   now Ive been a fan since soccerzone times cocacola flair of the week,robertmarawa,robertmarawa,Thu Jun 24 08:27:22 +0000 2021,0,2,Marawa Sports Worldwide,0.3182,0.133,0.0,0.867,POSITIVO
  now Ive been a fan since soccerzone times cocacola flair of the week,BlackPower89,nhlanhlakhoza1,Thu Jun 24 08:26:50 +0000 2021,4,2,"Durban, South Africa",0.3182,0.15,0.0,0.85,POSITIVO
Did Ronaldo damage Coke’s brand      marcom advertising marketing adland communicatie reclame marketers CocaColaRonaldo CocaCola Publicidad Opinion,Van Santen Netwerk,vsnamsterdam,Thu Jun 24 08:26:35 +0000 2021,0,0,The Netherlands,-0.4939,0.0,0.138,0.862,NEGATIVO
 The gesture of ChristianoRonaldo  putting the CocaCola bottles aside caused a brutal  drop for the company on the…,Stuart Mabbutt,WildlifeSM,Thu Jun 24 08:26:12 +0000 2021,0,13,United Kingdom,-0.7351,0.0,0.256,0.744,NEGATIVO
In this weeks CoverStory IMPACT examines whether sponsors need to reevaluate product placements at bigticket events after recent incidents of football stars snubbing CocaCola and Heineken publicly at Euro IMPACTmagazineRead it here  ,Impact Magazine,IMPACT_onnet,Thu Jun 24 08:20:36 +0000 2021,0,0,Mumbai,-0.2263,0.0,0.053,0.947,NEGATIVO
" Elon  My tweets can move the market 
Ronaldo  Say what now Ronaldo makes the rules and  billion follow r…",Funny Quotes-Bot,QuotesBot1,Thu Jun 24 08:11:54 +0000 2021,0,1,Libya,0.0,0.0,0.0,1.0,NEUTRO
"Elon  My tweets can move the market 
Ronaldo  Say what now Ronaldo makes the rules and  billion follow ronaldo cocacola funny ronaldococacola funny laughter ui ux design ",Yellowchalk Design,YellowchalkUIUX,Thu Jun 24 08:06:08 +0000 2021,1,1,"Bengaluru, India",0.0,0.0,0.0,1.0,NEUTRO
 Drink water CristianoRonaldo removes Coca Cola bottles during the press conference video goes viral  WATCH this…,Peter Smith,PeterSm23107251,Thu Jun 24 08:05:30 +0000 2021,0,1,USA,0.0,0.0,0.0,1.0,NEUTRO
"Ronaldo agrees What about you 
trending ronaldo ronaldomemes cocacola euro contentmarketing gigs gigwork gigger startup opportunity internship parttimejobs awigngigs awign growwithawign ",Awign,in_awign,Thu Jun 24 08:04:31 +0000 2021,1,0,Bangalore,0.2869,0.093,0.0,0.907,POSITIVO
 Finally CocaCola has found its place back still waiting for INDIA to find its no  place again ,G u r प्री त  || indianyuvak Stan  ||,DareToSarcasm,Thu Jun 24 08:04:19 +0000 2021,0,20,Jaan Kar Kya Ukhaad Loge 🤔,-0.296,0.0,0.104,0.896,NEGATIVO
" Least I could do 
cocacola varanasi varanasiindia varanasifood FoodBlogger
instadaily drinks 
 …",Smriti Anand Singh,SmritiSingh01,Thu Jun 24 08:03:13 +0000 2021,0,1,,0.0,0.0,0.0,1.0,NEUTRO
"agarwal If your diet soda has zero calories zero sugar and zero fat what the hell are you drinking
vain CocaCola PEPSI …",dharamik,dharamik3,Thu Jun 24 08:01:05 +0000 2021,0,1,,-0.6808,0.0,0.167,0.833,NEGATIVO
"ronaldococacola influencers celebrities brandambassadors cocacola christianoronaldo 
Much has been written on the Ronaldo press conference A lot off analysis and a lot of memes too Which brings me to the question I have 
If you were to choose one…",himanshu patil,himanshupatil12,Thu Jun 24 07:59:01 +0000 2021,0,0,,0.0,0.0,0.0,1.0,NEUTRO
"Drink Fresh amp Pure Water 
Repair your RO today with TeqBiz Services
 
  freshwater waterpurifier waterfilter RO service rorepairservices filterchange meme cristianoronaldo ronaldomemes cocacola ronaldo momentmarketing Meme ",TeqBiz,TeqBiz,Thu Jun 24 07:56:50 +0000 2021,1,0,"Navi Mumbai, India",0.3182,0.069,0.0,0.931,POSITIVO
Just dont drink coca cola sonCocaCola CristianoRonaldo Mbappe EURO ,Avinash Ayyappan,avinash220495,Thu Jun 24 07:52:24 +0000 2021,3,0,,0.0,0.0,0.0,1.0,NEUTRO
